Epoch,Gen Loss,Disc Loss,Time (s)
1,5.7536836,0.0034998157,25.18790626525879
2,6.6527805,0.0014142643,21.256457090377808
3,7.3467016,0.00077815366,21.19704294204712
4,7.5819006,0.00054329244,22.111867904663086
5,6.385459,0.0017495616,21.40832209587097
6,9.899356,0.00016736651,21.849843978881836
7,9.60424,7.31532e-05,21.087281703948975
8,11.636944,0.0009325887,21.26182508468628
9,10.698568,0.0009085481,21.260897874832153
10,8.800392,0.0022805778,21.01609992980957
11,7.604448,0.00070778653,21.300946712493896
12,7.385574,0.0011195781,21.221396684646606
13,5.1492777,0.011703024,21.08351993560791
14,5.3511004,0.01011356,21.780577898025513
15,4.2947145,0.0920516,21.48008131980896
16,4.681586,0.20320722,21.21344494819641
17,2.782895,0.099906944,21.23533296585083
18,2.4501915,0.3640651,21.127824306488037
19,2.853932,0.25038743,21.765945434570312
20,1.8672643,0.30837026,21.692448616027832
21,2.262022,0.25649875,21.134445667266846
22,2.1002362,0.4975021,21.216552019119263
23,2.8312922,0.25881717,21.81251883506775
24,1.4535227,0.519935,21.079031229019165
25,2.1971037,0.44598013,21.052817583084106
26,1.8378602,0.71419954,21.372373580932617
27,1.5882634,0.41592997,21.699624061584473
28,2.4062521,0.39805865,21.93505311012268
29,1.6104238,0.52448094,21.358273029327393
30,1.975328,0.8296727,22.000983953475952
31,1.2380174,0.7106597,22.707441329956055
32,0.88272727,1.0949302,21.601353883743286
33,1.0596142,0.6950005,22.514129638671875
34,1.0159059,0.7650551,22.256557941436768
35,1.7361908,0.39443284,22.278265237808228
36,1.2345037,0.724378,22.634705543518066
37,1.6034296,0.5027989,22.27913737297058
38,1.0072348,1.3295023,22.385377883911133
39,1.2777874,0.9010925,22.681121110916138
40,1.4640104,0.5133841,22.38221836090088
41,1.5246965,0.57580197,23.133527278900146
42,1.1432519,0.9189926,22.35826802253723
43,1.3368179,0.92934644,22.210528135299683
44,1.6687626,0.80823684,22.58005952835083
45,0.85598016,2.0251963,22.336891174316406
46,1.2552683,0.89303726,22.003912687301636
47,1.0111637,0.83590573,22.233087062835693
48,0.7537496,1.1163764,23.1351261138916
49,0.9144096,1.003264,22.8227059841156
50,1.2394134,0.84505904,22.895476818084717
